processo_ano;denominacao;denominacao_completa;categoria;classe_subclasse;municipio;distrito;ato_legal;livro_de_tombo
PTE001/1979;Capela de São Sebastião;Capela de São Sebastião;BI;"Edificação e acervo; templo";Araxá;Araxá;Decreto 19908, de 22 de maio de 1979;II, III
PTE002/1983;Prédio da antiga Cadeia Pública de Barbacena;Prédio da antiga Cadeia Pública de Barbacena;BI;"Edificação; militar";Barbacena;Barbacena;Decreto 22867, de 1 de julho de 1983;III
PTE003/1978;Prédio do antigo Senado Mineiro;Prédio do antigo Senado Mineiro;BI;Edificação;Belo Horizonte;Belo Horizonte;Decreto 19596, de 5 de dezembro de 1978;III
PTE004/1975;Arquivo Público Mineiro;Arquivo Público Mineiro;BI;Edificação e acervo;Belo Horizonte;Belo Horizonte;Decreto 16983, de 7 de fevereiro de 1975;II, III
PTE005/1979;Igreja do Sagrado Coração de Jesus;Igreja do Sagrado Coração de Jesus;BI;"Edificação; templo";Belo Horizonte;Belo Horizonte;Decreto 19953, de 6 de julho de 1979;I, III
PTE007/1977;Catedral da Boa Viagem;Prédio da Catedral da Boa Viagem e a Praça que a circunda, incluindo: o lavatório da sacristia, a pia batismal, a custódia do Congresso Eucarístico Nacional, os retábulos dos altares - atualmente nas igrejas de Ibirité e Matriz de São Gonçalo, em Contagem -  e os sinos.;BI;"Edificação e acervo; templo";Belo Horizonte;Belo Horizonte;Decreto 18531, de 2 de junho de 1977;I, II, III
PTE009/1984;Conjunto arquitetônico e paisagístico da Pampulha;Conjunto arquitetônico e paisagístico da Pampulha (incluindo a Casa do Baile, o Iate Tênis Clube, a Igreja de São Francisco de Assis e o Cassino);CP;"Conjunto arquitetônico; jardim histórico; templo";Belo Horizonte;Belo Horizonte;Decreto 23646, de 26 de junho de 1984;I, II, III, IV
PTE010/1977;Conjunto arquitetônico e paisagístico da Praça da Liberdade;Conjunto arquitetônico e paisagístico da Praça da Liberdade (incluídos os prédios das antigas secretarias da Educação, da Fazenda,  da Segurança Pública e Interior, da Viação e Obras Públicas e antigo Palácio dos Despachos);CP;"Conjunto arquitetônico; jardim histórico";Belo Horizonte;Belo Horizonte;Decreto 18531, de 2 de junho de 1977;I, II, III
PTE011/1977;Palácio da Justiça Rodrigues Campos;Palácio da Justiça Rodrigues Campos;BI;Edificação e acervo;Belo Horizonte;Belo Horizonte;Decreto 18641, de 10 de agosto de 1977;II, III
PTE014/1975;Palácio da Liberdade;Palácio da Liberdade;BI;"Edificação e acervo; jardim histórico";Belo Horizonte;Belo Horizonte;Decreto 16956, de 27 de janeiro de 1975;I, II, III
PTE015/1977;Edifício do Necrotério do Cemitério do Bonfim;Edifício do Necrotério do Cemitério do Bonfim;BI;Edificação;Belo Horizonte;Belo Horizonte;Decreto 18531, de 2 de junho de 1977;II
PTE016/1975;Conjunto paisagístico do Parque Municipal;Conjunto paisagístico do Parque Municipal;CP;"Jardim histórico; conjunto arquitetônico";Belo Horizonte;Belo Horizonte;Decreto 17086, de 13 de março de 1975;I
PTE017/1975;Prédio do antigo Conselho Deliberativo - Câmara Municipal de Belo Horizonte;Prédio do antigo Conselho Deliberativo - Câmara Municipal de Belo Horizonte;BI;Edificação;Belo Horizonte;Belo Horizonte;Decreto 17087, de 13 de março de 1975;II, III
PTE018/1975;Fazenda Boa Esperança;Conjunto paisagístico, artístico e histórico da Fazenda Boa Esperança, constituído da sede, capela, com seus trabalhos de talha dourada e painéis no teto e paredes, bem como a área de terreno da referida Fazenda;CP;Conjunto rural;Belo Vale;Belo Vale;Decreto 17009, de 27 de fevereiro de 1975;I, II, III
PTE020/1977;Fazenda dos Martins;Fazenda dos Martins;BI;Conjunto rural;Brumadinho;Brumadinho;Decreto 18531, de 2 de junho de 1977;II
PTE021/1980;Casa de João Pinheiro;Casa de João Pinheiro;BI;Edificação;Caeté;Caeté;Decreto 20582, de 26 de maio de 1980;I, III
PTE022/1978;Igreja de Santa Isabel da Hungria;Igreja de Santa Isabel da Hungria;BI;"Edificação e acervo; templo";Caxambu;Caxambu;Decreto 19513, de 26 de outubro de 1978;III
